generation, input, state, input_feasible, input_infeasible, state_feasible, state_infeasible
315,611,1444,1482,,1426,
315,1648,1648,1388,,1426,
314,1704,1445,1777,,1630,
315,1445,2648,1667,,1630,
315,1648,1463,1482,,1723,
297,611,1463,1797,,1426,
315,2574,1649,1778,,2426,
296,1555,1648,1463,,1648,
314,1667,1666,1592,,1351,
315,1611,1426,1630,,1426,
315,1611,1426,1611,,1666,
297,1315,1630,1704,,1426,
314,1760,1630,1667,,1426,
296,1482,1723,1667,,1426,
315,1574,1426,2000,,1445,
315,630,2426,1556,,1611,
297,1148,1648,1519,,1445,
315,2556,1351,1796,,1408,
315,1667,1426,1777,,4500,
314,1519,1666,1814,,1426,
315,1741,1426,1815,,2556,
314,1482,1426,1630,,1648,
315,1926,1426,1556,,1444,
296,2648,1445,1556,,1667,
315,1796,1611,1667,,1426,
297,1722,1445,1629,,1630,
315,1834,1408,1926,,3407,
315,1204,4500,1685,,1629,
315,685,1426,1574,,1667,
297,1852,2556,1648,,1666,
297,1111,1648,1407,,1425,
296,1630,1444,1777,,1445,
315,1648,1667,1518,,1667,
296,1686,1426,1444,,1666,
314,1907,1630,1648,,1426,
315,1629,3407,1926,,1648,
315,1963,1629,1778,,1389,
315,1703,1667,1481,,1444,
314,667,1666,1519,,1611,
314,1130,1425,1703,,1407,
315,1870,1445,1481,,5481,
315,1759,407,1444,,1759,
315,1981,1667,1500,,1445,
315,1408,1666,1889,,1574,
315,1870,1426,1723,,1445,
314,1833,1648,1648,,1611,
315,1667,1389,1666,,1426,
315,1740,1444,1444,,1463,
296,1500,1611,1389,,1519,
314,667,1407,1815,,1741,
314,1463,5481,1592,,1648,
314,1741,1759,1814,,1445,
314,1760,1445,1852,,1444,
296,1703,1574,1685,,1426,
314,1463,1445,1481,,1463,
315,1760,1611,1944,,1407,
315,1482,1426,1963,,3908,
296,1648,1463,2019,,2111,
296,1815,1519,1630,,1481,
315,1185,1741,1944,,1371,
296,1444,1648,1574,,1370,
297,630,1445,1612,,1445,
297,1852,1444,1871,,1445,
315,1685,1426,1834,,1629,
296,1481,519,1463,,1444,
315,666,1463,1648,,1648,
296,1704,1407,1777,,1444,
314,1166,7056,1833,,1463,
315,1500,3908,1518,,1500,
389,1555,2111,1629,,1463,
315,704,1481,1722,,1667,
315,1629,1371,1833,,1444,
315,1759,1370,1667,,1463,
315,1518,1445,1593,,1537,
297,1482,1445,1482,,1445,
315,1389,1629,1685,,1630,
315,1518,1444,1741,,1426,
315,2500,1648,1481,,1426,
296,1833,1444,1463,,1425,
315,1833,1463,1741,,1408,
314,2648,1500,1463,,1445,
315,1629,1463,1759,,1574,
315,1685,1667,1463,,1740,
314,1944,1444,1445,,1425,
315,630,1463,1778,,1426,
315,1815,1537,1741,,1648,
314,1445,1445,1481,,1426,
297,1630,1630,1666,,1667,
315,1667,500,1815,,1445,
315,2537,1426,1463,,1537,
